Time,Latitude (y),Longitude (x),NO2(t-1),NO2(t-2),NO2(t-3),NO2(t-4),NO2(t-5),NO2(t-6),NO2(t-7),NO2(t-8),NO2(t-9),NO2(t-10),NO2(t-11),NO2(t-12),NO2(t-13),NO2(t-14),NO2(t-15),NO2(t-16),NO2(t-17),NO2(t-18),NO2(t-22),NO2(t-27),NO2(t-28),NO2(t-29),Target_NO2(t)
2025-01-29,-7.023175017792986,112.7650311364311,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,1.7384446e-05,3.4744507375e-05,2.706273175e-05,1.9380956125e-05,2.903459e-05
2025-02-01,-7.023175017792986,112.7650311364311,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.2043628e-05,4.2426283e-05,3.4744507375e-05,2.706273175e-05,2.623955e-05
2025-02-02,-7.023175017792986,112.7650311364311,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.670281e-05,3.9485373666666665e-05,4.2426283e-05,3.4744507375e-05,2.958255e-05
2025-02-03,-7.023175017792986,112.7650311364311,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.35860925e-05,3.654446433333333e-05,3.9485373666666665e-05,4.2426283e-05,3.292555e-05
2025-02-04,-7.023175017792986,112.7650311364311,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.0469375e-05,3.3603555e-05,3.654446433333333e-05,3.9485373666666665e-05,3.626855e-05
2025-02-05,-7.023175017792986,112.7650311364311,3.626855e-05,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.1039333285714287e-05,1.7384446e-05,3.3603555e-05,3.654446433333333e-05,3.961155e-05
2025-02-06,-7.023175017792986,112.7650311364311,3.961155e-05,3.626855e-05,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.160929157142857e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,2.0774363e-05
2025-02-07,-7.023175017792986,112.7650311364311,2.0774363e-05,3.961155e-05,3.626855e-05,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.2179249857142855e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,1.94696675e-05
2025-02-08,-7.023175017792986,112.7650311364311,1.94696675e-05,2.0774363e-05,3.961155e-05,3.626855e-05,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.2749208142857146e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.8164972e-05
2025-02-09,-7.023175017792986,112.7650311364311,1.8164972e-05,1.94696675e-05,2.0774363e-05,3.961155e-05,3.626855e-05,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.331916642857143e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,1.962885825e-05
2025-02-10,-7.023175017792986,112.7650311364311,1.962885825e-05,1.8164972e-05,1.94696675e-05,2.0774363e-05,3.961155e-05,3.626855e-05,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.3889124714285717e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.10927445e-05
2025-02-11,-7.023175017792986,112.7650311364311,2.10927445e-05,1.962885825e-05,1.8164972e-05,1.94696675e-05,2.0774363e-05,3.961155e-05,3.626855e-05,3.292555e-05,2.958255e-05,2.623955e-05,2.903459e-05,3.182963e-05,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,2.4459083e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.255663075e-05
